State,AccountLength,AreaCode,InternationalPlan,VoiceMailPlan,TotalDayMinutes,TotalEveMinutes,CustomerServiceCalls,Churn
WV,141,415,yes,yes,258.6,222,0,FALSE
IN,65,415,no,no,129.1,228.5,4,TRUE
RI,74,415,no,no,187.7,163.4,0,FALSE
IA,168,408,no,no,128.8,104.9,1,FALSE
MT,95,510,no,no,156.6,247.6,3,FALSE
IA,62,415,no,no,120.7,307.2,4,FALSE
NY,161,415,no,no,332.9,317.8,4,TRUE
ID,85,408,no,yes,196.4,280.9,1,FALSE
VT,93,510,no,no,190.7,218.2,3,FALSE
VA,76,510,no,yes,189.7,212.8,1,FALSE
TX,73,415,no,no,224.4,159.5,1,FALSE
FL,147,415,no,no,155.1,239.7,0,FALSE
CO,77,408,no,no,62.4,169.9,5,TRUE
AZ,130,415,no,no,183,72.9,0,FALSE
LA,172,408,no,no,212,31.2,3,FALSE
AZ,12,408,no,no,249.6,252.4,1,TRUE
OK,57,408,no,yes,176.8,195,0,FALSE
GA,72,415,no,yes,220,217.3,3,FALSE
AK,36,408,no,yes,146.3,162.5,0,FALSE
MA,78,415,no,no,130.8,223.7,1,FALSE
AK,136,415,yes,yes,203.9,187.6,3,FALSE
NJ,149,408,no,no,140.4,271.8,1,FALSE
GA,98,408,no,no,126.3,166.8,3,FALSE
MD,135,408,yes,yes,173.1,203.9,0,TRUE
AR,34,510,no,no,124.8,282.2,2,FALSE
ID,160,415,no,no,85.8,165.3,3,FALSE
WI,64,510,no,no,154,225.8,1,FALSE
OR,59,408,no,yes,120.9,213,2,FALSE
MI,65,415,no,no,211.3,162.6,3,FALSE
DE,142,408,no,no,187,134.6,2,FALSE
ID,119,415,no,no,159.1,231.3,5,TRUE
WY,97,415,no,yes,133.2,217.2,1,FALSE
IA,52,408,no,no,191.9,269.8,3,FALSE
IN,60,408,no,no,220.6,211.1,1,FALSE
VA,10,408,no,no,186.1,190.2,2,FALSE
UT,96,415,no,no,160.2,267.5,2,FALSE
WY,87,415,no,no,151,219.7,5,TRUE
IN,81,408,no,no,175.5,249.3,1,FALSE
CO,141,415,no,no,126.9,180,1,FALSE
CO,121,408,no,yes,198.4,75.3,3,TRUE
WI,68,415,no,no,148.8,246.5,3,FALSE
OK,125,408,no,no,229.3,177.4,1,FALSE
ID,174,408,no,no,192.1,169.9,1,FALSE
CA,116,415,no,yes,268.6,178.2,2,FALSE
MN,74,510,no,yes,193.7,246.1,2,FALSE
SD,149,408,no,yes,180.7,187.8,3,FALSE
NC,38,408,no,no,131.2,162.9,2,FALSE
WA,40,415,no,yes,148.1,169.5,2,FALSE
WY,43,415,yes,no,251.5,212.8,0,FALSE
MN,113,408,yes,no,125.2,206.4,0,FALSE
UT,126,408,no,no,211.6,216.9,1,FALSE
TX,150,510,no,no,178.9,169.1,4,TRUE
NJ,138,408,no,no,241.8,170.5,3,FALSE
MN,162,510,no,yes,224.9,188.2,0,FALSE
NM,147,510,no,no,248.6,148.9,3,FALSE
NV,90,415,no,no,203.4,226.7,1,FALSE
HI,85,415,no,no,235.8,157.2,0,FALSE
MN,50,415,no,no,157.1,223.3,1,FALSE
DC,82,415,no,no,300.3,181,0,TRUE
NY,144,408,no,no,61.6,77.1,4,TRUE
MN,46,415,no,no,214.1,164.4,2,FALSE
MD,70,408,no,no,170.2,155.2,1,FALSE
WV,144,415,no,no,201.1,303.5,1,FALSE
OR,116,415,yes,no,215.4,204.8,3,FALSE
CO,55,408,no,yes,165.6,136.1,3,FALSE
GA,70,415,no,yes,249.5,259.7,1,FALSE
TX,106,510,no,no,210.6,249.2,2,TRUE
VT,128,510,no,yes,179.3,225.9,0,FALSE
